userName,score,at,content
Kisema Indonesia,2,2023-06-03 10:22:46,"sudah gold,, kenapa di nonaktifkan,, hanya karena di buka di hp istri,, tolong bantu aktifkan lagi"
fakhriza akbar velayati,1,2023-06-03 10:21:12,Lola parah banget.
Bhinti Nurkhasanah,5,2023-06-03 10:21:10,Mempermudah..
Lamhot,5,2023-06-03 10:20:06,Bagusssssssssssssss
Yudha P115,1,2023-06-03 10:20:04,"ada bug ya? setelah melakukan pencarian barang seharusnya setelan filter (daerah, range harga, dll) tidak ke-reset kan? ini malah ke-reset, tolong perbaiki."
Edy Kurniawan,5,2023-06-03 10:19:24,Top
Apendi Apendi,4,2023-06-03 10:18:01,M Yang Paling Kamu Sukai Dari Daftar Ulang tahun ya semoga aja
Empat Sembilan 49,3,2023-06-03 10:16:56,Semakin lama semakin Banyak biaya yang harus dibayar sekarang
Zam Zam,2,2023-06-03 10:15:47,"Makin hari makin mengecewakan tiap transaksi ada biaya penanganan sama biaya layanan,,,makin tidak nyaman dg aplikasi ini"
dimas akbar,5,2023-06-03 10:15:26,"bagus , dulu sebelum memakai shopee saya kesusahan untuk membeli beberapa barang sekarang setelah memakai shopee aku lebih mudah untuk membeli barang apapun yg saya mau , wajib download deh pokoknya"
Siti R,5,2023-06-03 10:14:54,Ok
Okvieto Zefanya,5,2023-06-03 10:14:35,Oke
kopral andi,5,2023-06-03 10:14:31,Sangat membabatu dan memudahkan
Aku Gw,5,2023-06-03 10:14:24,Shoopee yang terbaik.
Dimas legowo,1,2023-06-03 10:13:26,Jelek
Ana Ahmad,5,2023-06-03 10:13:18,Sangat membantu...👍
Dɪʟʟ !!!,5,2023-06-03 10:12:30,luar biasa
Sri Rosalina,1,2023-06-03 10:12:19,Notifikasi tidak muncul pada real time
Helwa Jamilah,5,2023-06-03 10:10:50,Oke
Agus Agus,3,2023-06-03 10:10:01,bagus
Evi Riasti,5,2023-06-03 10:09:22,Smoga limit spnjm nambah
Lira Larashaty,1,2023-06-03 10:08:07,"Suka ngebug ketika lagi ngescroll, ngefreez tiba tiba, DIPAKE GRATIS ONGKIR NYA GABISA, PADAHAL BELUM ADA DI PAKE"
Lanang Serama,5,2023-06-03 10:07:40,Goood
Fadhilah nur Az-zahra,5,2023-06-03 10:07:31,Pelayanan mantap
Artist Melawi,2,2023-06-03 10:06:28,Aplikasi makin berat! Ongkir nya juga makin nambah Biaya admin makin mahal
Anin Dita,1,2023-06-03 10:05:07,Di ta
Samanta Jauhari,3,2023-06-03 10:04:50,Kok tidak bisa cod di tempat.
Yuda alyuda,5,2023-06-03 10:04:49,Bisa diandalkan
nita kilus,5,2023-06-03 10:04:35,Shopee memang terdepan dan Aling dipercaya
Mauli Uli,1,2023-06-03 10:02:45,Sebagai pembeli yang menerapkan sistem pembayaran cod Biaya penanganannya sangat gk wajar dan lagi penerapan sistem pengiriman yang gk bisa milih dengan pengiriman yang lambat (spx) lagi sistem reels nya gk guna cuma buat apk tambah berat & lemottt
Riski Riski,1,2023-06-03 10:01:57,Asu tenan
ROHMATULLAH TULLAH,5,2023-06-03 10:01:53,Kasih 5 bintang 🌟🌟🌟🌟🌟
darsono eno,4,2023-06-03 10:01:23,Bagus
rudy rudy.s,5,2023-06-03 10:01:12,bagus
Siti Rahmadhanii,5,2023-06-03 10:00:59,"bagus, pengiriman cepat,barang terjaga"
ceciliana irlen,5,2023-06-03 10:00:28,good
Riskasabrina,5,2023-06-03 09:59:25,K Up
